# key<TAB>en<TAB>ja<TAB>ko — zh comes from module TSVs; missing/untranslated keys fall back to zh.
settings_language	Language	言語	언어
extcompat_th_audio_enable_title	Enable audio	オーディオを有効化	오디오 활성화
extcompat_th_audio_enable_subtitle	Enable BGM and ambient sound playback	BGMと環境音の再生を有効化します	BGM 및 환경음 재생 활성화
extcompat_th_bgm_title	BGM playback	BGM再生	BGM 재생
extcompat_th_bgm_subtitle	Background music playback	背景音楽の再生	배경 음악 재생
extcompat_th_bgm_muted_title	Mute BGM	BGMをミュート	BGM 음소거
extcompat_th_bgm_muted_subtitle	Mute background music	背景音楽をミュートします	배경 음악 음소거
extcompat_th_ambient_title	Ambient sound playback	環境音の再生	환경음 재생
extcompat_th_ambient_subtitle	Ambient sound effect playback	環境効果音の再生	환경 효과음 재생
extcompat_th_ambient_muted_title	Mute ambient sound	環境音をミュート	환경음 음소거
extcompat_th_ambient_muted_subtitle	Mute ambient sounds	環境音をミュートします	환경음 음소거
extcompat_th_volumes	BGM volume: %1$d  Ambient volume: %2$d	BGM音量: %1$d  環境音量: %2$d	BGM 볼륨: %1$d  환경음 볼륨: %2$d
extcompat_section_optimize	Optimization	最適化	최적화
extcompat_th_opt_incompatible_title	Disable incompatible options	非互換オプションを無効化	호환되지 않는 옵션 비활성화
extcompat_th_opt_incompatible_subtitle	Automatically disable options incompatible with tellev	tellevと非互換のオプションを自動で無効化します	tellev과 호환되지 않는 옵션 자동 비활성화
extcompat_th_opt_better_load_title	Better message loading	より良いメッセージ読み込み	더 나은 메시지 로딩
extcompat_th_opt_better_load_subtitle	Optimize message loading performance	メッセージ読み込みのパフォーマンスを最適化します	메시지 로딩 성능 최적화
extcompat_th_opt_better_update_title	Better character updates	より良いキャラクター更新	더 나은 캐릭터 업데이트
extcompat_th_opt_better_update_subtitle	Optimize the character update flow	キャラクター更新フローを最適化します	캐릭터 업데이트 흐름 최적화
extcompat_th_opt_better_export_title	Better character export	より良いキャラクターエクスポート	더 나은 캐릭터 내보내기
extcompat_th_opt_better_export_subtitle	Optimize the character export flow	キャラクターエクスポートフローを最適化します	캐릭터 내보내기 흐름 최적화
extcompat_th_opt_better_delete_title	Better character deletion	より良いキャラクター削除	더 나은 캐릭터 삭제
extcompat_th_opt_better_delete_subtitle	Optimize the character deletion flow	キャラクター削除フローを最適化します	캐릭터 삭제 흐름 최적화
extcompat_th_opt_worldbook_title	Recommended world book settings	推奨ワールドブック設定	권장 월드북 설정
extcompat_th_opt_worldbook_subtitle	Force-apply the recommended global world book settings	推奨のワールドブック全体設定を強制適用します	권장 월드북 전역 설정 강제 적용
extcompat_th_opt_max_context_title	Maximize preset context length	プリセットのコンテキスト長を最大化	프리셋 컨텍스트 길이 최대화
extcompat_th_opt_max_context_subtitle	Automatically maximize the preset's context length	プリセットのコンテキスト長を自動で最大化します	프리셋의 컨텍스트 길이 자동 최대화
extcompat_section_render	Render	描画	렌더링
extcompat_th_render_enable_title	Enable rendering	描画を有効化	렌더링 활성화
extcompat_th_render_enable_subtitle	Enable enhanced message rendering	メッセージ描画の拡張を有効化します	메시지 렌더링 강화 활성화
extcompat_th_render_streaming_title	Allow streaming render	ストリーミング描画を許可	스트리밍 렌더링 허용
extcompat_th_render_streaming_subtitle	Render in real time during streaming generation	ストリーミング生成中にリアルタイム描画します	스트리밍 생성 중 실시간 렌더링
extcompat_th_render_blob_title	Use Blob URLs	Blob URLを使用	Blob URL 사용
extcompat_th_render_blob_subtitle	Load resources via Blob URLs	Blob URL経由でリソースを読み込みます	Blob URL로 리소스 로드
extcompat_th_render_hljs_title	Optimize highlight.js	highlight.jsを最適化	highlight.js 최적화
extcompat_th_render_hljs_subtitle	Optimize code highlighting performance	コードハイライトのパフォーマンスを最適化します	코드 하이라이트 성능 최적화
extcompat_th_render_depth_hidden_title	Depth ignores hidden	深度計算で非表示を無視	깊이 계산 시 숨김 무시
extcompat_th_render_depth_hidden_subtitle	Ignore hidden messages when computing render depth	描画深度の計算で非表示メッセージを無視します	렌더링 깊이 계산 시 숨김 메시지 무시
extcompat_th_render_stats	Code folding: %1$s  Render depth: %2$d	コード折りたたみ: %1$s  描画深度: %2$d	코드 접기: %1$s  렌더링 깊이: %2$d
extcompat_section_macro	Macros	マクロ	매크로
extcompat_th_macro_enable_title	Enable macro enhancements	マクロ拡張を有効化	매크로 확장 활성화
extcompat_th_macro_enable_subtitle	Enable extended macro features	拡張マクロ機能を有効化します	확장 매크로 기능 활성화
extcompat_debug_title	%1$s · Debug	%1$s · デバッグ	%1$s · 디버그
extcompat_status_loaded	Status: loaded	実行状態：読み込み済み	실행 상태: 로드됨
extcompat_status_not_loaded	Status: not loaded	実行状態：未読み込み	실행 상태: 로드되지 않음
extcompat_last_event	Last event: %1$s	最近のイベント：%1$s	마지막 이벤트: %1$s
extcompat_last_error	Last error: %1$s	最近のエラー：%1$s	마지막 오류: %1$s
extcompat_final_prompt	Final prompt	最終プロンプト	최종 프롬프트
extcompat_clear	Clear	クリア	지우기
extcompat_prompt_empty_hint	Nothing reported by the generation pipeline yet. Run one real generation and the messages sent to the model plus diagnostics will appear here; this view does not reconstruct or guess prompts on its own.	生成パイプラインからの報告はまだありません。実際に1回生成すると、モデルに送信したメッセージと診断がここに表示されます。この画面は自力でプロンプトを再構築・推測しません。	생성 파이프라인의 보고가 아직 없습니다. 실제로 한 번 생성하면 모델에 보낸 메시지와 진단이 여기에 표시됩니다. 이 화면은 스스로 프롬프트를 재구성하거나 추측하지 않습니다.
extcompat_prompt_stats	Messages %1$d · Estimated tokens %2$s · Active world book entries %3$d	メッセージ %1$d · 推定トークン %2$s · 活性ワールドブック %3$d	메시지 %1$d · 추정 토큰 %2$s · 활성 월드북 %3$d
extcompat_unknown	Unknown	不明	알 수 없음
extcompat_diag_warnings	Diagnostic warnings	診断警告	진단 경고
extcompat_activated_entries	Activated entries: %1$s	活性エントリ：%1$s	활성 항목: %1$s
extcompat_runtime_logs	Runtime logs	実行ログ	실행 로그
extcompat_logs_empty_hint	No logs yet. Only extension_log and real load/unload events are shown here.	ログはまだありません。ここにはextension_logと実際の読み込み/アンロードイベントのみ表示されます。	로그가 아직 없습니다. 여기에는 extension_log와 실제 로드/언로드 이벤트만 표시됩니다.
ext_title	Extensions	拡張	확장
ext_refresh_cd	Refresh	更新	새로 고침
ext_builtin_header_title	Built-in compatibility modules	内蔵互換モジュール	내장 호환 모듈
ext_builtin_header_subtitle	These modules ship with the APK; no directory installation needed.	これらのモジュールはAPKに同梱されており、ディレクトリへのインストールは不要です。	이 모듈들은 APK에 포함되어 있어 디렉터리 설치가 필요 없습니다.
ext_asset_header_title	Character card assets	キャラカード添付リソース	캐릭터 카드 첨부 리소스
ext_asset_header_subtitle	After importing a character card, its world books, regex and Tavern Helper data are registered here automatically.	キャラカードをインポートすると、ワールドブック・正規表現・酒館助手データがここに自動登録されます。	캐릭터 카드를 가져오면 월드북, 정규식, 술관 도우미 데이터가 여기에 자동 등록됩니다.
ext_permission_dialog_title	Extension permission request	拡張機能の権限リクエスト	확장 권한 요청
ext_permission_dialog_body	Extension %1$s requests the %2$s permission. Allow only if you trust this script.	拡張%1$sが%2$s権限を要求しています。このスクリプトを信頼する場合のみ許可してください。	확장 %1$s이(가) %2$s 권한을 요청합니다. 이 스크립트를 신뢰할 때만 허용하세요.
ext_permission_allow	Allow	許可	허용
ext_permission_deny	Deny	拒否	거부
ext_settings_cd	Settings	設定	설정
ext_debug_button	Debug	デバッグ	디버그
ext_last_error	Last error: %1$s	最近のエラー：%1$s	마지막 오류: %1$s
ext_auto_enable_chip	Auto-enable	自動有効化	자동 활성화
ext_asset_id	ID: %1$s	ID: %1$s	ID: %1$s
ext_worldbook_none	World book 0	ワールドブック 0	월드북 0
ext_worldbook_imported	World book imported	ワールドブック導入済み	월드북 가져옴
ext_regex_count	Regex %1$d	正規表現 %1$d	정규식 %1$d
ext_th_scripts_count	Tavern Helper scripts %1$d	酒館助手スクリプト %1$d	술관 도우미 스크립트 %1$d
ext_data_count	Variable data %1$d	変数データ %1$d	변수 데이터 %1$d
ext_regex_scripts_header	Regex scripts (%1$d)	正規表現スクリプト（%1$d）	정규식 스크립트(%1$d)
ext_collapse	Collapse	折りたたむ	접기
ext_expand	Expand	展開	펼치기
ext_asset_empty_title	No character card assets yet	キャラカード添付リソースはまだありません	캐릭터 카드 첨부 리소스가 아직 없습니다
ext_asset_empty_hint	Import a character card containing world books, regex or Tavern Helper scripts and they will appear here.	ワールドブック・正規表現・酒館助手スクリプトを含むキャラカードをインポートすると、ここに表示されます。	월드북, 정규식 또는 술관 도우미 스크립트가 포함된 캐릭터 카드를 가져오면 여기에 표시됩니다.
extvm_load_failed	Failed to load extension assets: %1$s	拡張リソースの読み込みに失敗しました：%1$s	확장 리소스 로드 실패: %1$s
extvm_manifest_not_found	Extension manifest not found: %1$s	拡張マニフェストが見つかりません：%1$s	확장 매니페스트를 찾을 수 없음: %1$s
extvm_client_version_too_low	Extension %1$s requires client version >= %2$s; this tellev build is older	拡張%1$sはクライアントバージョン%2$s以上を要求します。このtellevはそれより古いです	확장 %1$s은(는) 클라이언트 버전 %2$s 이상이 필요합니다. 현재 tellev 버전은 그보다 낮습니다
extvm_toggle_failed	Failed to toggle extension: %1$s	拡張の切り替えに失敗しました：%1$s	확장 전환 실패: %1$s
extvm_regex_script_not_found	Regex script not found: %1$s	正規表現スクリプトが見つかりません：%1$s	정규식 스크립트를 찾을 수 없음: %1$s
extvm_regex_toggle_failed	Failed to update regex toggle: %1$s	正規表現スイッチの更新に失敗しました：%1$s	정규식 스위치 업데이트 실패: %1$s
extvm_permission_request_failed	Failed to handle permission request: %1$s	権限リクエストの処理に失敗しました：%1$s	권한 요청 처리 실패: %1$s
extvm_builtin_th_name	Tavern Helper compatibility	酒館助手互換	술관 도우미 호환
extvm_builtin_th_desc	SillyTavern event bus, getContext, TavernHelper, fetch /api/* bridge and character card script runtime	SillyTavernのイベントバス、getContext、TavernHelper、fetch /api/*ブリッジ、キャラカードスクリプト実行	SillyTavern 이벤트 버스, getContext, TavernHelper, fetch /api/* 브리지 및 캐릭터 카드 스크립트 실행
extvm_builtin_regex_name	Character card regex	キャラカード正規表現	캐릭터 카드 정규식
extvm_builtin_regex_desc	Automatically reads and applies regex_scripts embedded in character cards	キャラカード内蔵のregex_scriptsを自動で読み込み・適用します	캐릭터 카드에 내장된 regex_scripts를 자동으로 읽어 적용합니다
extvm_builtin_worldbook_name	Character card world book	キャラカードワールドブック	캐릭터 카드 월드북
extvm_builtin_worldbook_desc	Auto-imports character_book and injects it with the character's prompts	character_bookを自動インポートし、キャラクターのプロンプトに注入します	character_book를 자동 가져오기하여 캐릭터 프롬프트에 주입합니다
extvm_builtin_ejs_name	EJS prompt templates	EJSプロンプトテンプレート	EJS 프롬프트 템플릿
extvm_builtin_ejs_desc	Use EJS template syntax (<%= ... %>) in prompts and character cards for dynamic generation and injection	プロンプトやキャラカードでEJSテンプレート構文（<%= ... %>）を使い、動的生成と注入を実現します	프롬프트와 캐릭터 카드에서 EJS 템플릿 구문(<%= ... %>)을 사용해 동적 생성과 주입을 지원합니다
extvm_perm_webview	WebView	WebView	WebView
extvm_perm_character_assets	Character assets	キャラクターリソース	캐릭터 리소스
extvm_perm_virtual_api	Virtual API	仮想API	가상 API
extvm_perm_chat_display	Chat display	チャット表示	채팅 표시
extvm_perm_prompt	Prompts	プロンプト	프롬프트
extvm_perm_worldbook	World books	ワールドブック	월드북
extvm_perm_variables	Variables	変数	변수
extmem_title	Long-term memory	長期記憶	장기 기억
extmem_subtitle	Built-in switchable module. When off, extraction and injection pause for all chats; existing memories are kept.	内蔵の切り替え可能モジュール。オフにすると全セッションの抽出と注入を一時停止します。既存の記憶は保持されます。	내장 전환 모듈입니다. 끄면 모든 대화의 추출과 주입이 일시 중지되며 기존 기억은 유지됩니다.
extmem_open_settings	Model & retrieval settings	モデルと検索の設定	모델 및 검색 설정
extmem_model_section_title	Memory processing model	記憶整理モデル	기억 정리 모델
extmem_model_section_subtitle	Configured separately from the chat model and generation preset. When unset, the chat model is not used automatically.	チャットモデルや生成プリセットとは別に設定します。未設定のとき、チャットモデルを自動使用しません。	채팅 모델 및 생성 프리셋과 별도로 구성합니다. 미설정 시 채팅 모델을 자동으로 사용하지 않습니다.
extmem_existing_connection	Existing connection	既存の接続	기존 연결
extmem_model_name_label	Memory model name (leave empty to reuse the connection's)	記憶モデル名（空欄で接続設定を流用）	기억 모델 이름(비우면 연결 설정 사용)
extmem_custom_base_url_label	Dedicated API address	専用APIアドレス	전용 API 주소
extmem_custom_api_key_label	Dedicated API key	専用APIキー	전용 API 키
extmem_custom_model_label	Dedicated model name	専用モデル名	전용 모델 이름
extmem_vector_toggle_title	Vector retrieval (optional)	ベクトル検索（任意）	벡터 검색(선택 사항)
extmem_vector_hint	The vector API uses OpenAI-compatible /embeddings. Local retrieval continues on failure; queries may incur extra costs once enabled.	ベクトルAPIはOpenAI互換の/embeddingsを使用します。失敗時はローカル検索にフォールバックします。有効にするとクエリで追加費用が発生する可能性があります。	벡터 API는 OpenAI 호환 /embeddings를 사용합니다. 실패 시 로컬 검색으로 계속하며, 활성화하면 쿼리에 추가 비용이 발생할 수 있습니다.
extmem_existing_vector_connection	Existing vector connection	既存のベクトル接続	기존 벡터 연결
extmem_vector_base_url_label	Vector API address	ベクトルAPIアドレス	벡터 API 주소
extmem_vector_api_key_label	Vector API key	ベクトルAPIキー	벡터 API 키
extmem_vector_model_label	Vector model name (may override an existing connection)	ベクトルモデル名（既存接続を上書き可）	벡터 모델 이름(기존 연결 재정의 가능)
extmem_vector_path_label	Vector API path	ベクトルAPIパス	벡터 API 경로
extmem_save_button	Save settings	設定を保存	설정 저장
extmem_selector_label	%1$s: %2$s	%1$s：%2$s	%1$s: %2$s
extmem_custom_entry	Enter separately	個別に入力	개별 입력
extdbg_loaded	Extension loaded	拡張を読み込みました	확장이 로드되었습니다
extdbg_unloaded	Extension unloaded	拡張をアンロードしました	확장이 언로드되었습니다
extdbg_load_failed	Extension load failed	拡張の読み込みに失敗しました	확장 로드에 실패했습니다
